algoritmo,max_attempts,max_iters,best_fitness,time,mutation_rate
simulated_annealing,50,1000,139445.19287257854,7.554456949234009,undefined
simulated_annealing,100,1000,139828.80027547653,7.44458794593811,undefined
simulated_annealing,150,1000,136331.3984124168,7.314178228378296,undefined
simulated_annealing,200,1000,139654.09924951702,7.44690728187561,undefined
simulated_annealing,250,1000,137093.32557962826,7.394891738891602,undefined
simulated_annealing,300,1000,137749.69056970463,7.417880296707153,undefined
simulated_annealing,350,1000,138884.20421469037,7.4654316902160645,undefined
simulated_annealing,400,1000,140164.41201608407,7.368479251861572,undefined
simulated_annealing,450,1000,136052.63831450138,7.594430923461914,undefined
simulated_annealing,50,3000,109078.85401106693,20.555490732192993,undefined
simulated_annealing,100,3000,106499.56539212355,20.266963958740234,undefined
simulated_annealing,150,3000,108577.65256551813,20.296026945114136,undefined
simulated_annealing,200,3000,106259.12465314817,20.253825902938843,undefined
simulated_annealing,250,3000,108418.8929383955,20.39191436767578,undefined
simulated_annealing,300,3000,108223.70253647096,20.78437042236328,undefined
simulated_annealing,350,3000,111901.31393180696,20.551004648208618,undefined
simulated_annealing,400,3000,103704.6857835826,20.42961311340332,undefined
simulated_annealing,450,3000,107849.56282792361,20.215128898620605,undefined
simulated_annealing,50,5000,110844.35389007119,17.92518424987793,undefined
simulated_annealing,100,5000,95450.98274085569,32.58865022659302,undefined
simulated_annealing,150,5000,94236.4005842141,32.64347791671753,undefined
simulated_annealing,200,5000,95986.88903754775,30.220606565475464,undefined
simulated_annealing,250,5000,97139.83495583481,32.79759502410889,undefined
simulated_annealing,300,5000,95520.40220746619,32.834866523742676,undefined
simulated_annealing,350,5000,94188.18067581342,32.56837320327759,undefined
simulated_annealing,400,5000,94605.77216150211,32.71741437911987,undefined
simulated_annealing,450,5000,92721.24475646202,32.39089393615723,undefined
simulated_annealing,50,7000,96279.43274353574,27.690958261489868,undefined
simulated_annealing,100,7000,89513.72068243736,44.33031988143921,undefined
simulated_annealing,150,7000,89365.58978973428,44.276469230651855,undefined
simulated_annealing,200,7000,84504.90367939172,44.91366219520569,undefined
simulated_annealing,250,7000,87575.07017553298,44.51823401451111,undefined
simulated_annealing,300,7000,88630.67388142676,44.47810339927673,undefined
simulated_annealing,350,7000,87489.38363972575,44.65885925292969,undefined
simulated_annealing,400,7000,88502.99814569978,44.50018882751465,undefined
simulated_annealing,450,7000,86477.60413585909,44.30962252616882,undefined
simulated_annealing,50,9000,98347.12280452017,29.16854190826416,undefined
simulated_annealing,100,9000,84123.37981514745,54.027657985687256,undefined
simulated_annealing,150,9000,84425.08254915506,56.195974349975586,undefined
simulated_annealing,200,9000,83323.10344288978,55.79282259941101,undefined
simulated_annealing,250,9000,82502.65482516367,55.7491934299469,undefined
simulated_annealing,300,9000,81901.81497837306,56.24376821517944,undefined
simulated_annealing,350,9000,83618.8829924783,56.32650804519653,undefined
simulated_annealing,400,9000,79693.046342236,56.414979457855225,undefined
simulated_annealing,450,9000,83536.8235012365,56.19921541213989,undefined
simulated_annealing,50,11000,120030.35273077752,13.533130645751953,undefined
simulated_annealing,100,11000,96030.12033796335,34.27540707588196,undefined
simulated_annealing,150,11000,82943.10084985322,60.76105523109436,undefined
simulated_annealing,200,11000,79651.63233765468,68.00523710250854,undefined
simulated_annealing,250,11000,79017.18602780845,68.05787706375122,undefined
simulated_annealing,300,11000,82597.76401035182,68.10586261749268,undefined
simulated_annealing,350,11000,78908.27363742092,68.73914456367493,undefined
simulated_annealing,400,11000,79510.54822919113,68.51197028160095,undefined
simulated_annealing,450,11000,79495.82886990477,67.90269660949707,undefined
simulated_annealing,50,13000,105220.02514232308,20.87938642501831,undefined
simulated_annealing,100,13000,81725.97337012424,53.93358826637268,undefined
simulated_annealing,150,13000,75202.87630799132,69.82823848724365,undefined
simulated_annealing,200,13000,73693.21190904855,79.60692048072815,undefined
simulated_annealing,250,13000,77214.63771723864,79.78917384147644,undefined
simulated_annealing,300,13000,77894.21032000799,79.4358401298523,undefined
simulated_annealing,350,13000,74424.15303476741,79.38720703125,undefined
simulated_annealing,400,13000,74982.41249895205,79.98228597640991,undefined
simulated_annealing,450,13000,74535.24023506622,80.66439414024353,undefined
simulated_annealing,50,15000,133294.83866748348,8.541646242141724,undefined
simulated_annealing,100,15000,92768.10352152456,34.5063910484314,undefined
simulated_annealing,150,15000,85987.3521835046,47.0509467124939,undefined
simulated_annealing,200,15000,71286.48837581572,91.68818092346191,undefined
simulated_annealing,250,15000,74217.08220078201,90.97044634819031,undefined
simulated_annealing,300,15000,73685.98243805404,91.33136630058289,undefined
simulated_annealing,350,15000,72110.27668318702,91.54286861419678,undefined
simulated_annealing,400,15000,73155.03220062707,91.5482726097107,undefined
simulated_annealing,450,15000,72663.82978632064,91.46980786323547,undefined
simulated_annealing,50,17000,98658.00682688093,25.97947096824646,undefined
simulated_annealing,100,17000,84253.18249874598,48.18502473831177,undefined
simulated_annealing,150,17000,66332.41865179219,103.46301794052124,undefined
simulated_annealing,200,17000,71020.0894773745,102.27357935905457,undefined
simulated_annealing,250,17000,73426.84092882271,97.31928777694702,undefined
simulated_annealing,300,17000,71054.47813877674,103.32618737220764,undefined
simulated_annealing,350,17000,70242.6357382142,103.22716498374939,undefined
simulated_annealing,400,17000,72236.70884815608,103.69175958633423,undefined
simulated_annealing,450,17000,69629.4429857947,103.49117612838745,undefined
simulated_annealing,50,19000,100123.76717752214,26.646138191223145,undefined
simulated_annealing,100,19000,95986.43566442897,31.39280366897583,undefined
